District,Pharmacy Name,Address,Phone
الشمال - الكورة,نعمة الجديدة - انفه,انفه-الطريق العام السودات بملكه عقار 2594,03/712950; 06/540305
الشمال - الكورة,نورترام - بطرام,بطرام-الشارع العام السهل ملك انيس طنوس عقار 801,06/930539; 03/384142; 03/839069
الشمال - المنية - الضنية,الاحمد - بخعون,بخعون-الشارع العام ملك ورثة احمد شاكر عقار 3,03/933711; 06/240208
الشمال - المنية - الضنية,الضنية - عاصون,عاصون-الشارع العام-الكثير-ملك ناهدة هاشم رفاعية عقار 6,03/901157; 06/490940
الشمال - المنية - الضنية,المنيه - منيه - PharmMira,منطقة المنية العقارية-مجي المخاصة-شارع الأوتسترداد - عقار رقم 2347-المحلين 4 و3 من الجهة الشرقية-ملك كامل الذهبي,76/137715; 76/494063
الشمال - المنية - الضنية,ديما فارم,المنية - أوتوستراد المنية / الضنية - ملك عماد مطر -,06/463860
الشمال - المنية - الضنية,سير الكبرى - المنيه الضنية,سير الضنية-ملك محمود ومصطفى فقت عقار 1330 -A-المنية-منطقة الحكر-طريق الثانوية-مشروع علم الدين - عقار 2616-المنية-بلوك,06/490441
الشمال - المنية - الضنية,صيدلية سنا - المنيه,المحل لجهة اليمين -ملك مصطفى علم الدين,06/462460; 71/011433
الشمال - المنية - الضنية,صيدلية غسان - بخعون - بخون-المنية,منطقة بخعون العقارية - عقار 811-كامل المخزن الغربي من البناء الغربي ملك علي رضوان,03/272332; 06/242260
الشمال - المنية - الضنية,صيدلية ماهر - دير عمار,دير عمار حي الطريق العام الشارع الرئيسي عقار 677 ملك محمد حسن ديب عيد,06/463600; 03/561589
الشمال - زغرتا,السلمة - مرياطة,مرياطة الشارع العام ملك محمد نزيه محمد كرامي عقار 5,71/712049; 06/255234
الشمال - زغرتا,الفواد - مجدليا زغترا,مجدليا عقار رقم 39 بلوك B مخزن رقم 42 ملك حيدر احمد غانم,76/035564; 06/391923
الشمال - زغرتا,ريمي فارم - Rimi Pharm,عشاش العقارية - عقار 466 المقسم 8 و9 ملك نينا شلهوب و روزلين فرح,70/649671; 06/255905
الشمال - زغرتا,زغترا الزاوية,زغترا-الثل ملك سايد معوض عقار 1081 مقسم A,03/797959; 06/660198
الشمال - زغرتا,سن بيتر - كرحاتا - زغترا,كرحاتا - الشارع العام عقار 943 و10 و9 و7 و6 و5 و4 و3 و2 و1ملك جوزف وانطوني رهب وسليمه سعاده وجوزيف ومارون دنيا,03/663234; 06/554000; 06/555656
الشمال - زغرتا,صيدلية سلامتي - علما,منطقة علما العقارية - العقار رقم 1045 - المحلين الثالث والرابع لجهة اليمين -ملك محمد الحلوان,06/685733
الشمال - زغرتا,صيدلية فارما زون - Pharma Zone,منطقة مغز الاحوال العقارية-المقسم 4-من العقار 270-ملك الياس العلم,06/510295; 71/298939
الشمال - زغرتا,صيدلية كير سنتر - قارماسي - عرجس,عرجس الطريق العام شارع زغترا اهدن عقار 168 ملك نديم مخايل كاميلوس,03/101063; 06/550655
الشمال - زغرتا,صيدلية وسام - ارده,منطقة أرده العقارية - العقار رقم 1928 - المقس 7 -ملك كميل المختفي,03/121031
الشمال - زغرتا,فارما ليا - كرم سدة,كرم سده - طريق عام اهدن زغترا - ملك نجيب ميشال انطون,70/292486; 06/595676
الشمال - زغرتا,مار شربل - عردات,عردات - حي وطى عردات عقار رقم 859 ملك جيسكار معتوق,06/666156; 70/782554
الشمال - زغرتا,مار يوحنا - زغترا,زغترامار يوحنا - الصليب ملك طنوس سعاده عقار 137,06/663197; 03/725557
الشمال - زغرتا,مجدليا -زغترا - Pharmacare,مجدليا -الفرق - الطريق العام - ملك محمد بكور,06/381007
الشمال - طرابلس,KALAJJEH صيدلية قلعجية بالسر Plus Pharmacy - طرابلس,منطقة بساتين طرابلس العقارية- العقار رقم 3617-كامل القسم4-ملك احمد كنيفاني,70/100320
الشمال - طرابلس,Yehya Pharmacy,منطقة بساتين الميناء العقارية العقار رقم 1253 - كامل القسم 7 -ملك عبد الفتاح المصري وشملين حنا محفوظ,70681178; 06/006020
الشمال - طرابلس,pharmacy,مراح السراح حي مراح السراح الشارع العام عقار 358 ملك محمود توفيق عالم,03/112629
الشمال - طرابلس,االعسر - طرابلس,طرابلس - القبة - مقابل جامع الوديع - بناية عامر عباس,06/391258
الشمال - طرابلس,االيمان - ابي سمراط - طرابلس,زيتون طرابلس حي ابي سمراء شارع البيان ملك وليد كمال الدين عقار 3/261,03/394254; 06/425978
الشمال - طرابلس,البسمة - طرابلس,طرابلس - المنا - البساتين بملكه عقار 1718 قسم 9,03773619; 06/200245
الشمال - طرابلس,الشيخ - طرابلس,طرابلس - عزمي - قبل المستشفى االسالمي شارع قاديشا بناية توم و غالييني عقار 554-81-91,03/239512; 06/435798
الشمال - طرابلس,الغانم - البساتين,طرابلس حي الضم والقرار شارع بساتين طرابلس ملك محمود ديب على عقار 3693,03/980477; 06/411764
الشمال - طرابلس,الفيحاء - الحدادين-طرابلس,طرابلس-ساحة النجمة-الحدادين ملك ياسمين عبد الرزاق علم الدين عقار 11,03/346103
الشمال - طرابلس,القلعة - الحديد - طرابلس,طرابلس - الحديد ملك نهى غنوم عقار 131 قسم 188,03/704600; 06/431090
الشمال - طرابلس,القلوم - القلمون,القلوم - الطريق العام - عبد المحيد علوان عقار 10,03/905591; 06/401211
الشمال - طرابلس,المصري - طرابلس,طرابلس منطقة التل رقم العقار 710 المقس 13 ملك زينه محمد الفوال,03/507520; 06/438258
الشمال - طرابلس,المنيء الضنيء - Kanj Pharmacy,مراح السريج - الطريق العام - ملك احمد كنج ديب,06/491757
الشمال - طرابلس,جودي - طرابلس,طرابلس - بساتين المينا - الشارع العام - ملك ساميه محمد زاهد,06/205557
الشمال - طرابلس,حجة - طرابلس,طرابلس - الشيخ جميل عدره - واره ديوان الشاطر حسن ملك علا حجة عقار 1479,03/201766; 06/612983
الشمال - طرابلس,حمره - طرابلس,طرابلس - كورنش رشيد كرامي - باب الحديد ملك حمزه Hamzeh,03/686981; 06/440136
الشمال - طرابلس,دير عمار - دير عمار,"شاعر المنتين عقار 382 قم 70, 70 - 69 قم 72",71/602006; 03/014244; 06/210890; 03/151560; 06/462306
الشمال - طرابلس,صيدلية أنس - زيتون طرابلس - طرابلس,منطقة زيتون طرابلس العقارية- عقار 6718-المقسم A4-ملك عوني هاجر,03/793758
الشمال - طرابلس,صيدلية البيسار - طرابلس,طرابلس-مملكه,06/614212; 71/602006; 03/014244; 06/210890
الشمال - طرابلس,صيدلية الضيا - البساتين,طرابلس-بساتين طرابلس-ملك نشابة عقار 8/202,03/336583; 06/220448
الشمال - طرابلس,صيدلية الفيحاء الميناء - الميناء,عقار رقم 610-من منطقة الميناء الثالثة عشر العقارية-القسم 5-الملك A -بملكه,03/238452; 06/385137
الشمال - طرابلس,صيدلية رستم - مراح السريح,طرابلس-زيتون طرابلس-شارع عبدالحميد الرافعي-ملك منذر البكري,03/613645; 06/600745
الشمال - طرابلس,صيدلية زين 3 - Pharmacie - زيتون,زيتون طرابلس العقارية القبة عقار رقم 4190 المقسم رقم 9 ملك فادي عبد السلام الحداد,03/613063; 06/409662
الشمال - طرابلس,صيدلية زينب - طاران,منطقة طاران العقارية - عقار رقم 829 كامل المخزن رقم 2 من جهة اليمين من البناء ملك جمال ديب,03/824257; 06/491250
